"sampleID","genotype","treatment_protocol","timepoint","fullSampleID","sex","experimentalBatch","treatment","genotype_treatment","genotype_timepoint","genotype_timepoint_treatment","genotype_timepoint_treatment_batch","seq_run","cell_set","sampleID_original","sampleID_unique"
"SAB25","D21","1uM RA D3-D5","D4","S4D21_D4_RA_4","M","4","RA","D21_RA","D21_D4","D21_D4_RA","D21_D4_RA_4","1","Set4","SAB25","Set4_SAB25"
"SAB26","T21","1uM RA D3-D5","D4","S4T21_D4_RA_4","M","4","RA","T21_RA","T21_D4","T21_D4_RA","T21_D4_RA_4","1","Set4","SAB26","Set4_SAB26"
"SAB61","D21","No Treatment","D6","S4D21_D6_NT_4","M","4","CTRL","D21_CTRL","D21_D6","D21_D6_CTRL","D21_D6_CTRL_4","2","Set4","SAB61","Set4_SAB61"
"SAB62","T21","No Treatment","D6","S4T21_D6_NT_4","M","4","CTRL","T21_CTRL","T21_D6","T21_D6_CTRL","T21_D6_CTRL_4","2","Set4","SAB62","Set4_SAB62"
"SAB63","D21","1uM RA D3-D5","D6","S4D21_D6_RA_4","M","4","RA","D21_RA","D21_D6","D21_D6_RA","D21_D6_RA_4","2","Set4","SAB63","Set4_SAB63"
"SAB64","T21","1uM RA D3-D5","D6","S4T21_D6_RA_4","M","4","RA","T21_RA","T21_D6","T21_D6_RA","T21_D6_RA_4","2","Set4","SAB64","Set4_SAB64"
"SAB65","D21","No Treatment","D8","S4D21_D8_NT_1","M","1","CTRL","D21_CTRL","D21_D8","D21_D8_CTRL","D21_D8_CTRL_1","2","Set4","SAB65","Set4_SAB65"
"SAB66","T21","No Treatment","D8","S4T21_D8_NT_1","M","1","CTRL","T21_CTRL","T21_D8","T21_D8_CTRL","T21_D8_CTRL_1","2","Set4","SAB66","Set4_SAB66"
"SAB67","D21","1uM RA D3-D5","D8","S4D21_D8_RA_1","M","1","RA","D21_RA","D21_D8","D21_D8_RA","D21_D8_RA_1","2","Set4","SAB67","Set4_SAB67"
"SAB68","T21","1uM RA D3-D5","D8","S4T21_D8_RA_1","M","1","RA","T21_RA","T21_D8","T21_D8_RA","T21_D8_RA_1","2","Set4","SAB68","Set4_SAB68"
"SAB69","D21","No Treatment","D10","S4D21_D10_NT_1","M","1","CTRL","D21_CTRL","D21_D10","D21_D10_CTRL","D21_D10_CTRL_1","2","Set4","SAB69","Set4_SAB69"
"SAB70","T21","No Treatment","D10","S4T21_D10_NT_1","M","1","CTRL","T21_CTRL","T21_D10","T21_D10_CTRL","T21_D10_CTRL_1","2","Set4","SAB70","Set4_SAB70"
