"label","plate_no","exp_no","cell","treatment","treatment_label","treatment_no","day","day_lb","dbl_neg","isl_pos","islctnt_pos","ctnt_pos","tot_isl","tot_ctnt","set","genotype"
"G10_Sample70.fcs",1,2,"S4T21","NT","No Treatment",0,5,"D5",15.6,84.1,0.32,0,84.42,0.32,"S4","T21"
"G11_Sample71.fcs",1,3,"S4T21","NT","No Treatment",0,5,"D5",11.9,87.9,0.17,0.00989,88.07,0.17989,"S4","T21"
"G12_Sample72.fcs",1,4,"S4T21","NT","No Treatment",0,5,"D5",13.6,86,0.41,0,86.41,0.41,"S4","T21"
"C9_Sample21.fcs",2,1,"S4T21","NT","No Treatment",0,6,"D6",11.4,65.3,23.1,0.24,88.4,23.34,"S4","T21"
"C10_Sample22.fcs",2,2,"S4T21","NT","No Treatment",0,6,"D6",9.68,71.5,18.6,0.28,90.1,18.88,"S4","T21"
"C11_Sample23.fcs",2,3,"S4T21","NT","No Treatment",0,6,"D6",9.86,71.3,18.6,0.31,89.9,18.91,"S4","T21"
"C12_Sample24.fcs",2,4,"S4T21","NT","No Treatment",0,6,"D6",13.5,74,12.4,0.16,86.4,12.56,"S4","T21"
"F5_Sample53.fcs",2,1,"S4T21","NT","No Treatment",0,7,"D7",23.6,43.5,31.9,0.97,75.4,32.87,"S4","T21"
"F6_Sample54.fcs",2,2,"S4T21","NT","No Treatment",0,7,"D7",24.9,47.3,26.6,1.16,73.9,27.76,"S4","T21"
"F7_Sample55.fcs",2,3,"S4T21","NT","No Treatment",0,7,"D7",27.8,46.3,25,0.92,71.3,25.92,"S4","T21"
"F8_Sample56.fcs",2,4,"S4T21","NT","No Treatment",0,7,"D7",23.8,52.2,23.4,0.69,75.6,24.09,"S4","T21"
"C9_Sample21.fcs",3,1,"S4T21","NT","No Treatment",0,8,"D8",35,32.2,30.1,2.66,62.3,32.76,"S4","T21"
"C10_Sample22.fcs",3,2,"S4T21","NT","No Treatment",0,8,"D8",32,34.6,28.8,4.64,63.4,33.44,"S4","T21"
"C11_Sample23.fcs",3,3,"S4T21","NT","No Treatment",0,8,"D8",46.3,30.7,20.3,2.62,51,22.92,"S4","T21"
"C12_Sample24.fcs",3,4,"S4T21","NT","No Treatment",0,8,"D8",30.3,34.1,32.4,3.13,66.5,35.53,"S4","T21"
"F5_Sample53.fcs",3,1,"S4T21","NT","No Treatment",0,9,"D9",51.4,16.1,27.6,4.88,43.7,32.48,"S4","T21"
"F6_Sample54.fcs",3,2,"S4T21","NT","No Treatment",0,9,"D9",46.8,20.8,27.5,4.84,48.3,32.34,"S4","T21"
"F7_Sample55.fcs",3,3,"S4T21","NT","No Treatment",0,9,"D9",53.2,18.8,24.3,3.67,43.1,27.97,"S4","T21"
"F8_Sample56.fcs",3,4,"S4T21","NT","No Treatment",0,9,"D9",49.3,21.7,25.6,3.39,47.3,28.99,"S4","T21"
"C9_Sample21.fcs",4,1,"S4T21","NT","No Treatment",0,10,"D10",58.1,15.3,20.6,5.93,35.9,26.53,"S4","T21"
"C10_Sample22.fcs",4,2,"S4T21","NT","No Treatment",0,10,"D10",59,15.8,17.8,7.39,33.6,25.19,"S4","T21"
"C11_Sample23.fcs",4,3,"S4T21","NT","No Treatment",0,10,"D10",53.3,12.2,26.4,8.13,38.6,34.53,"S4","T21"
"C12_Sample24.fcs",4,4,"S4T21","NT","No Treatment",0,10,"D10",50.6,20,23.5,5.88,43.5,29.38,"S4","T21"
"D1_Sample25.fcs",1,1,"S3D21","RA","1uM RA",1,4,"D4",34.8,64.9,0.25,0.11,65.15,0.36,"S3","D21"
"D2_Sample26.fcs",1,2,"S3D21","RA","1uM RA",1,4,"D4",47.3,52.3,0.18,0.18,52.48,0.36,"S3","D21"
"D3_Sample27.fcs",1,3,"S3D21","RA","1uM RA",1,4,"D4",58.4,41.2,0.27,0.2,41.47,0.47,"S3","D21"
"D4_Sample28.fcs",1,4,"S3D21","RA","1uM RA",1,4,"D4",46.7,53,0.14,0.16,53.14,0.3,"S3","D21"
"F9_Sample57.fcs",1,1,"S3D21","RA","1uM RA",1,5,"D5",40.7,57.1,1.56,0.63,58.66,2.19,"S3","D21"
"F10_Sample58.fcs",1,2,"S3D21","RA","1uM RA",1,5,"D5",42.8,55,1.86,0.3,56.86,2.16,"S3","D21"
"F11_Sample59.fcs",1,3,"S3D21","RA","1uM RA",1,5,"D5",63.3,35.7,0.59,0.39,36.29,0.98,"S3","D21"
"F12_Sample60.fcs",1,4,"S3D21","RA","1uM RA",1,5,"D5",47.5,48.7,2.79,0.94,51.49,3.73,"S3","D21"
"B9_Sample9.fcs",2,1,"S3D21","RA","1uM RA",1,6,"D6",53.8,35.9,8.96,1.27,44.86,10.23,"S3","D21"
"B10_Sample10.fcs",2,2,"S3D21","RA","1uM RA",1,6,"D6",34.2,53.6,11.2,1.03,64.8,12.23,"S3","D21"
"B11_Sample11.fcs",2,3,"S3D21","RA","1uM RA",1,6,"D6",35.2,44.9,18.9,1,63.8,19.9,"S3","D21"
"B12_Sample12.fcs",2,4,"S3D21","RA","1uM RA",1,6,"D6",38,46,15,1.02,61,16.02,"S3","D21"
"E5_Sample41.fcs",2,1,"S3D21","RA","1uM RA",1,7,"D7",62.2,20.6,15.3,1.9,35.9,17.2,"S3","D21"
"E6_Sample42.fcs",2,2,"S3D21","RA","1uM RA",1,7,"D7",56.7,30.5,11.2,1.56,41.7,12.76,"S3","D21"
"E7_Sample43.fcs",2,3,"S3D21","RA","1uM RA",1,7,"D7",38.6,21,37.5,2.95,58.5,40.45,"S3","D21"
"E8_Sample44.fcs",2,4,"S3D21","RA","1uM RA",1,7,"D7",47.8,25.1,24.4,2.79,49.5,27.19,"S3","D21"
"B9_Sample9.fcs",3,1,"S3D21","RA","1uM RA",1,8,"D8",66.6,13,17.6,2.84,30.6,20.44,"S3","D21"
"B10_Sample10.fcs",3,2,"S3D21","RA","1uM RA",1,8,"D8",62.5,19.6,14.7,3.27,34.3,17.97,"S3","D21"
"B11_Sample11.fcs",3,3,"S3D21","RA","1uM RA",1,8,"D8",49.2,11.9,32.1,6.67,44,38.77,"S3","D21"
"B12_Sample12.fcs",3,4,"S3D21","RA","1uM RA",1,8,"D8",51.5,12,31.1,5.34,43.1,36.44,"S3","D21"
"E5_Sample41.fcs",3,1,"S3D21","RA","1uM RA",1,9,"D9",71.1,5.54,15.1,8.28,20.64,23.38,"S3","D21"
"E6_Sample42.fcs",3,2,"S3D21","RA","1uM RA",1,9,"D9",65.3,10.3,15.2,9.15,25.5,24.35,"S3","D21"
"E7_Sample43.fcs",3,3,"S3D21","RA","1uM RA",1,9,"D9",49.3,4.03,26.9,19.7,30.93,46.6,"S3","D21"
"E8_Sample44.fcs",3,4,"S3D21","RA","1uM RA",1,9,"D9",57.6,6.09,21.6,14.7,27.69,36.3,"S3","D21"
"B9_Sample9.fcs",4,1,"S3D21","RA","1uM RA",1,10,"D10",64.2,3.92,13.8,18.1,17.72,31.9,"S3","D21"
"B10_Sample10.fcs",4,2,"S3D21","RA","1uM RA",1,10,"D10",59.5,11.4,12.3,16.8,23.7,29.1,"S3","D21"
"B11_Sample11.fcs",4,3,"S3D21","RA","1uM RA",1,10,"D10",46.3,3.41,13.9,36.4,17.31,50.3,"S3","D21"
"B12_Sample12.fcs",4,4,"S3D21","RA","1uM RA",1,10,"D10",48,4.18,15.8,32,19.98,47.8,"S3","D21"
"D5_Sample29.fcs",1,1,"S3T21","RA","1uM RA",1,4,"D4",39.5,60.3,0.18,0.079,60.48,0.259,"S3","T21"
"D6_Sample30.fcs",1,2,"S3T21","RA","1uM RA",1,4,"D4",34.1,65.3,0.45,0.17,65.75,0.62,"S3","T21"
"D7_Sample31.fcs",1,3,"S3T21","RA","1uM RA",1,4,"D4",55.1,44.7,0.13,0.067,44.83,0.197,"S3","T21"
"D8_Sample32.fcs",1,4,"S3T21","RA","1uM RA",1,4,"D4",47,52.9,0.054,0.071,52.954,0.125,"S3","T21"
"G1_Sample61.fcs",1,1,"S3T21","RA","1uM RA",1,5,"D5",53.3,45.5,0.81,0.41,46.31,1.22,"S3","T21"
"G2_Sample62.fcs",1,2,"S3T21","RA","1uM RA",1,5,"D5",35.1,60.6,3.36,0.9,63.96,4.26,"S3","T21"
"G3_Sample63.fcs",1,3,"S3T21","RA","1uM RA",1,5,"D5",55.4,43.5,0.73,0.3,44.23,1.03,"S3","T21"
"G4_Sample64.fcs",1,4,"S3T21","RA","1uM RA",1,5,"D5",35.5,59.1,4.62,0.83,63.72,5.45,"S3","T21"
"C1_Sample13.fcs",2,1,"S3T21","RA","1uM RA",1,6,"D6",36.5,33.4,29.4,0.74,62.8,30.14,"S3","T21"
"C2_Sample14.fcs",2,2,"S3T21","RA","1uM RA",1,6,"D6",31,42,25.8,1.11,67.8,26.91,"S3","T21"
"C3_Sample15.fcs",2,3,"S3T21","RA","1uM RA",1,6,"D6",39.3,32.9,26.3,1.48,59.2,27.78,"S3","T21"
"C4_Sample16.fcs",2,4,"S3T21","RA","1uM RA",1,6,"D6",27.8,37.3,34,0.99,71.3,34.99,"S3","T21"
"E9_Sample45.fcs",2,1,"S3T21","RA","1uM RA",1,7,"D7",40.7,13.8,42.1,3.43,55.9,45.53,"S3","T21"
"E10_Sample46.fcs",2,2,"S3T21","RA","1uM RA",1,7,"D7",40.5,20.4,35,4.01,55.4,39.01,"S3","T21"
"E11_Sample47.fcs",2,3,"S3T21","RA","1uM RA",1,7,"D7",41.6,13.8,41.5,3.07,55.3,44.57,"S3","T21"
"E12_Sample48.fcs",2,4,"S3T21","RA","1uM RA",1,7,"D7",43.1,21,32.4,3.51,53.4,35.91,"S3","T21"
"C1_Sample13.fcs",3,1,"S3T21","RA","1uM RA",1,8,"D8",34.5,6.17,43.1,16.2,49.27,59.3,"S3","T21"
"C2_Sample14.fcs",3,2,"S3T21","RA","1uM RA",1,8,"D8",44.1,9.15,33,13.8,42.15,46.8,"S3","T21"
"C3_Sample15.fcs",3,3,"S3T21","RA","1uM RA",1,8,"D8",44.3,6.39,38.8,10.5,45.19,49.3,"S3","T21"
"C4_Sample16.fcs",3,4,"S3T21","RA","1uM RA",1,8,"D8",35.1,7.4,41.8,15.7,49.2,57.5,"S3","T21"
"E9_Sample45.fcs",3,1,"S3T21","RA","1uM RA",1,9,"D9",40.7,2.92,20.6,35.7,23.52,56.3,"S3","T21"
"E10_Sample46.fcs",3,2,"S3T21","RA","1uM RA",1,9,"D9",57.5,4.49,13.3,24.7,17.79,38,"S3","T21"
"E11_Sample47.fcs",3,3,"S3T21","RA","1uM RA",1,9,"D9",44.9,3.09,27.2,24.8,30.29,52,"S3","T21"
"E12_Sample48.fcs",3,4,"S3T21","RA","1uM RA",1,9,"D9",40.8,3.86,22.1,33.2,25.96,55.3,"S3","T21"
"C1_Sample13.fcs",4,1,"S3T21","RA","1uM RA",1,10,"D10",38.6,2.43,13.4,45.6,15.83,59,"S3","T21"
"C2_Sample14.fcs",4,2,"S3T21","RA","1uM RA",1,10,"D10",51.4,3.15,12.8,32.6,15.95,45.4,"S3","T21"
"C3_Sample15.fcs",4,3,"S3T21","RA","1uM RA",1,10,"D10",36.8,2.45,17.3,43.4,19.75,60.7,"S3","T21"
"C4_Sample16.fcs",4,4,"S3T21","RA","1uM RA",1,10,"D10",38.9,3.04,14.7,43.4,17.74,58.1,"S3","T21"
"E5_Sample41.fcs",1,1,"S4D21","RA","1uM RA",1,4,"D4",44.2,55.7,0.027,0.027,55.727,0.054,"S4","D21"
"E6_Sample42.fcs",1,2,"S4D21","RA","1uM RA",1,4,"D4",53.4,46.5,0.063,0.045,46.563,0.108,"S4","D21"
"E7_Sample43.fcs",1,3,"S4D21","RA","1uM RA",1,4,"D4",79.2,20.7,0,0.041,20.7,0.041,"S4","D21"
"E8_Sample44.fcs",1,4,"S4D21","RA","1uM RA",1,4,"D4",48.4,51.4,0.08,0.097,51.48,0.177,"S4","D21"
"H1_Sample73.fcs",1,1,"S4D21","RA","1uM RA",1,5,"D5",55,44.6,0.2,0.17,44.8,0.37,"S4","D21"
